slide,OB,CB,FB,GC,HN,VR
2021-12-03 22.10.45,454758,0,0,1620,324,810
2021-12-03 22.14.03,1296370,0,11640,0,10040,45310
2021-12-03 22.20.22,297886,0,0,0,1539,49624
2021-12-03 22.24.46,131590,0,0,0,0,342
2021-12-03 22.27.17,680480,5122,0,0,34340,96879
2021-12-03 22.34.04,224854,0,0,0,828,13056
2021-12-03 22.37.07,518149,0,0,0,1914,16617
2021-12-03 22.40.53,290402,0,7903,0,0,1141
2021-12-03 22.44.32,102440,33608,0,0,27489,3613
2021-12-03 22.47.52,423852,189032,0,0,81483,25561
2021-12-03 22.54.20,913476,2295,3391,0,3312,12716
2021-12-03 23.00.01,244767,20897,0,0,0,3555
2021-12-03 23.03.46,307841,324,513,0,0,973
2021-12-03 23.07.14,96517,0,0,0,1830,0
2021-12-03 23.10.09,241359,0,0,0,0,0
2021-12-03 23.13.19,121704,666,0,0,75480,1895
2021-12-03 23.16.33,233953,1,2745,0,504,0
2021-12-03 23.20.04,508600,0,0,0,36961,2192
2021-12-03 23.24.56,381041,0,4239,0,0,0
2021-12-03 23.28.43,228901,360,0,0,112085,354571
2021-12-03 23.32.33,502278,0,0,0,0,1152
2021-12-03 23.35.58,289146,0,0,0,0,5
2021-12-04 09.27.58,467651,0,1136,0,1379,0
2021-12-04 09.33.39,943349,0,5440,0,5699,1038
2021-12-04 09.42.40,925724,0,0,0,29540,81587
2021-12-04 09.48.54,498016,7134,0,0,95785,63835
2021-12-04 09.53.54,257157,0,3755,0,29906,188108
2021-12-04 09.59.02,116424,0,0,0,20909,536639
2021-12-04 10.03.55,672380,0,0,0,20367,6437
2021-12-04 10.08.47,435338,0,0,0,102035,43972
2021-12-04 10.12.27,100963,0,0,0,83570,278586
2021-12-04 10.17.53,429972,0,5902,0,0,0
2021-12-04 10.21.18,956040,0,32303,0,1484,5353
2021-12-04 10.26.57,882400,0,1000,0,486,54681
2021-12-04 10.30.37,383437,0,0,342,1676,0
2021-12-04 10.34.22,577159,0,22246,685,0,0
2021-12-04 10.38.03,377854,74530,0,0,729,223549
2021-12-04 10.41.49,315473,370020,0,0,19652,50090
2021-12-04 10.47.26,599167,0,0,0,25916,0
2021-12-04 10.52.03,609257,0,2075,0,526,0
2021-12-04 10.56.49,334196,0,9510,0,3990,84743
2021-12-04 11.00.08,275765,0,648,0,3167,81001
2021-12-04 11.03.42,680628,0,0,0,20966,1545307
2021-12-04 11.15.18,1276602,342,34642,0,828,76215
2021-12-04 11.23.38,2302215,19351,0,0,8464,1653489
2021-12-04 11.40.41,1708440,1200,0,0,50420,749953
2021-12-04 11.52.08,2324385,3344,0,0,2532,43554
2021-12-04 12.10.59,1395000,1030,1962,0,4478,0
2021-12-04 12.21.20,2701885,0,0,0,7688,238975
2021-12-04 12.31.46,708102,0,0,0,13787,15704
2021-12-04 12.41.24,1044093,0,0,0,324,324
2021-12-04 12.46.33,1118163,0,59169,0,15638,130566
2021-12-04 12.53.50,411595,0,0,0,179866,627413
2021-12-04 13.04.51,1236620,3021,0,0,6646,152300
2021-12-04 13.12.43,414392,11,5257,0,1215,13432
2021-12-04 13.17.34,707018,348,508,0,33883,1907686
2021-12-04 13.33.01,660690,0,0,0,7767,202773
2021-12-04 13.43.27,1094265,0,9884,0,1210,2184
2021-12-04 13.50.27,1033776,0,324,0,512,96787
2021-12-04 13.57.07,1259220,0,0,0,5,17448
2021-12-04 14.04.40,1610282,0,3499,342,0,0
2021-12-04 14.12.28,608396,0,0,0,731,2291
2021-12-04 14.16.22,403342,0,648,0,324,22892
2021-12-04 14.20.13,747537,0,69297,0,10078,1566023
2021-12-04 14.32.39,274532,0,0,0,51629,2298554
2021-12-04 14.40.35,586286,0,75693,0,1382,106878
2021-12-04 14.46.41,533252,0,38008,0,4307,20722
2021-12-04 14.51.37,14276,0,0,0,972,1784
2021-12-04 14.58.07,31129,0,0,0,0,8702
